era,zero_pred,filter_off_s0,filter_on_s0,c4_random_s0
0425,0.0072896592248776985,-0.020883866880239976,-0.02536613363733896,-0.03071398059051298
0426,-0.011206367568173153,-0.03694607505453883,-0.034586526686569224,-0.04765804650669513
0427,0.010348231193031143,-0.004921035212996814,-0.003478747756738644,-0.002466862198850596
0428,-0.01609686437262174,0.042772701762503015,0.039666227644673556,0.06028158242243997
0429,-0.042853281090945175,-0.036467908416042284,-0.03662467192525188,-0.02464637127897482
0430,-0.003052612397140485,-0.028882387661333685,-0.032358262864161484,-0.014712348681072891
0431,0.019328597229870986,-0.021666408625522403,-0.025488479432541226,-0.028322443553889975
0432,-0.03211561258089378,0.009351983924517882,0.007274164145921141,0.009307278020323833
0433,-0.002052662148133769,-0.004859279890593372,-0.009862252283623866,-0.013925924392968528
0434,-0.03173865066996597,-0.002205122462867663,-0.01253826642347139,-0.019925026617211204
0435,0.00128167404105485,-0.00311466431924012,0.0028800543752717906,0.009154448502211945
0436,0.00973413159817732,0.0183724022616407,0.016929098401647105,0.024351996063063302
0437,-0.014187201371467815,-0.015107863985928437,-0.018956708930201672,-0.0057399119304489005
0438,-0.017488713615925897,8.575455295747864e-05,-0.0022771727176500427,0.012366144317202258
0439,-0.014436949524908444,-0.00681765287155186,-0.005829359998548686,-0.012940975746933684
0440,-0.03169037518001471,-0.011517545242790668,-0.007811336933393986,-0.009892991468339727
0441,-0.009709672142334843,0.01999506004223968,0.020308846547092068,0.02371001207996458
0442,0.010940796060689663,-0.01100264178437782,-0.01673154471440478,-0.014338597669155368
0443,0.007073790517672236,-0.006869696430867742,-0.009514295882151098,0.005204466609746631
0444,-0.015763709623609526,0.013192943593008424,0.013534657462044165,0.00966727041222328
0445,-0.01438629198172598,-0.020155805190416567,-0.016830772085063606,-0.027331752823238187
0446,0.0006764000089327623,-0.020455096869904783,-0.01647206381525444,-0.0012668799855775985
0447,-0.010877964564369874,-0.002328388022537725,-0.002861333496269155,0.017645683961902376
0448,-0.016537800918096215,-0.03644250604734799,-0.03186494570750955,-0.03454266381484961
0449,-0.023390162797502348,-0.007179963123641835,-0.008356333647970317,-0.0023456972367127188
0450,-0.006270598901415492,0.0018677709701983693,-0.0024458147305411585,0.008351471539472678
0451,0.004626692689083558,0.014524344878304007,0.004093576111846557,0.0014237623387357505
0452,0.021273025450262325,0.010165071021856773,0.009391545860400195,0.01652163694258
0453,0.014060183141475077,-0.02714073144633681,-0.029218005983384074,-0.029585858565508997
0454,-0.01736354511190238,-0.008475592575233414,-0.003996239866444675,-0.026624183361690253
0455,0.02904873216563672,0.029808340163160054,0.02425990523645822,0.03332185002151206
0456,0.01801330573446191,-0.023386401314890743,-0.02327351306041429,-0.024129881402782792
0457,-0.0394562161135281,0.0053371954064112695,0.008434679447868337,-0.004276967858422116
0458,0.015330863987157486,0.03063004614212221,0.032071088899922405,0.03216875806544568
0459,0.024019572309402343,0.016078361809195415,0.02470378250366294,0.02190660311476738
0460,0.008858741579011013,0.02543471089197844,0.028171631470462647,0.0348499675980526
0461,0.0062892090619755476,0.06918975264434839,0.06921694617232313,0.06340087463431492
0462,-0.00396926566435849,-0.017188108230926254,-0.01609247329114504,-0.01543355293283281
0463,-0.008592570786911818,-0.002678650231312471,-0.002607150329301137,-0.01752187814860085
0464,-0.01510589513201361,0.023750843684539738,0.021869997906112854,0.008729659703377054
0465,-0.010648907890566528,0.008915671811088384,0.010787896546843655,0.012965971395854922
0466,0.03384934011104899,-0.011625282534176915,-0.007723854765370181,-0.00703177422240957
0467,-0.018479535216517497,0.021387865460251707,0.017451108455380587,0.02677395326878812
0468,0.00344143825570577,0.02779138593794575,0.031638050724757866,0.021848388283331015
0469,-0.0007401661534305105,0.02933171557650997,0.021293614348582405,0.03137683748028702
0470,-0.019251565585663055,-0.004696171878223119,-0.0037565885864684345,-0.0014437427963039512
0471,-0.013531212138579399,0.048620876182135134,0.04480793189393774,0.04448323701761338
0472,0.008127476272905753,0.02001689371522819,0.01391348815824029,0.013228108454384477
0473,-0.009970663135859105,0.01782652171662504,0.015331300263221579,0.018302097058643097
0474,-0.0059410597117842395,-0.006121573805185404,-0.004167450192318134,-0.017179827771209282
