era,zero_pred,filter_off_s0,filter_on_s0,c4_random_s0
0425,0.013847364300730384,-0.013395462960835105,-0.0198614119568789,-0.015703244951142167
0426,-0.014100506991063107,-0.021247150964625726,-0.023350156422103203,-0.03313208230141315
0427,-0.010208139677359486,-0.013756412394843001,-0.01810996979454919,0.0006165295534055827
0428,0.00856895412784422,0.025181932691932335,0.02601766329278921,0.035879610357553667
0429,-0.0312669378452218,-0.03331363536870734,-0.03834169387323658,-0.02832329913471338
0430,0.005978652921625737,-0.015577305936697332,-0.012156323925038133,-0.003994670510459031
0431,0.020244890379869363,-0.008198513839511595,-0.011621541249752764,-0.01837040836758294
0432,-0.04182471278610989,0.013068552874721218,0.0052651582357992124,0.01480915273172716
0433,0.014216511034747734,0.0004814254797036932,-0.006780316338647051,-0.017555487186445534
0434,-0.022123402690310108,0.00200700963697065,-0.009367008497312162,-0.013967140182083556
0435,-0.011140231673675973,0.0029437784703616326,-0.00027802776303959475,0.005146714603907925
0436,0.001164795108500878,0.03052115560053453,0.030239325128527592,0.04662938587352592
0437,-0.00908685962811653,-0.008282346699302345,-0.01253786318892903,0.005364262034795706
0438,-0.007280697743497529,-0.03503870443500084,-0.0369446075333777,-0.025316092699583053
0439,-0.008906034615001663,-0.017399779215450387,-0.020865960143811445,-0.025050561380125572
0440,-0.04411468733032179,-0.016358686341726374,-0.018208028256834614,-0.01303114096871985
0441,0.0023375612492323823,0.007678695950838411,0.006130728458640565,-0.0001949827536259353
0442,0.003971001541368914,-0.021680157099617976,-0.026152838453950545,-0.02616010404797854
0443,0.02653056632329696,-0.017995120295281965,-0.013417573012293573,0.002493103202730932
0444,-0.015453815013600837,0.014352150598116457,0.01544572528973875,0.02849847107344066
0445,-0.010843872645776544,-0.006506175671071655,-0.005995178267435343,-0.005469212544308581
0446,0.011173748225916188,-0.045807805056363754,-0.04345218384753079,-0.019794819063081927
0447,-0.005181332032270074,-0.014792399930993806,-0.01304250501585268,-0.005411612503897662
0448,-0.0028409289951654535,-0.03771273140079987,-0.030595920304326875,-0.03740897106808888
0449,-0.022120334219935457,-0.0171692981878463,-0.018595613695171837,-0.011178848303611209
0450,0.0046960774172620685,-0.00771372736579166,-0.007660148171887277,-0.007683718356031031
0451,-0.0005798510063712044,0.0011948485443629387,-0.005203630638912005,-0.0009715249888372471
0452,0.001040952715351288,0.0049804427263717916,0.005628420298139946,0.020038325998050444
0453,0.02059553255100442,-0.028333200406783762,-0.03039825560436773,-0.03134969144456569
0454,-0.0066890611107919325,-0.009294559506446646,-0.01139306662959127,-0.02030479919120006
0455,0.02046463000849467,0.009255454193621856,0.008139149536046575,0.02345548709937995
0456,0.011778071286599611,-0.025799851451100864,-0.024718520863851793,-0.026970626072835756
0457,-0.04961175911474678,-0.006844546414928327,-0.006540059394974678,-0.01731895258989141
0458,0.004392483540968876,0.012482661302872547,0.005634441631807914,0.025200663461342008
0459,0.024170681531371616,0.0056815240947389765,0.008323548397232147,0.02881610533864243
0460,0.008943491869198947,0.024828608410900975,0.023359403246086447,0.03465102382651096
0461,0.005445096422273223,0.06859045919657918,0.06863578135490399,0.05396340033536066
0462,-0.011088414689111504,-0.0006970894547009745,-0.0012071546455926934,0.0014613827218100171
0463,0.0005453761424422394,0.001373600321429934,0.003534154155872019,-0.008283584370493998
0464,-0.0074516438821993,0.021689661298759988,0.02060712425584823,0.010472477249120779
0465,-0.0024925539466879635,0.01336843916238763,0.009786817884059922,0.024242852840600262
0466,0.03787947260897139,0.0011403871012962733,-0.002633247152370599,0.017153371885181484
0467,-0.019375775171011026,0.01413182453871022,0.006975003021360574,0.028244682178379953
0468,0.014722594623511661,0.019321871415458117,0.017565784585002766,0.02652337344443532
0469,-0.012107175119745395,0.026906090805815786,0.018172401479800867,0.0293427619370419
0470,-0.017200899943169968,-0.0014830955560159315,-0.0060263434866580845,-0.00564562874602716
0471,-0.008258891896090345,0.04287153261419047,0.04294417946392842,0.03519745962936125
0472,0.022157551246964075,-0.01334075689367405,-0.02029397541828587,-0.017928155065219786
0473,-0.002911699921787996,0.006741845109492241,0.006039243917591475,0.018493463839384175
0474,0.0053987160702541875,0.00545973867226439,0.00481692704098917,-0.005443830869755303
0475,-0.02926438048120142,0.029371157531459413,0.029010570142614708,0.010465450667909106
0476,-0.007184615675372387,0.015515792508891381,0.014383891186047389,0.005450386739795322
0477,-0.01749629322334851,0.005513610473511439,0.008735586288703986,0.008038959301221105
