era,zero_pred,filter_off_s0,filter_on_s0,c4_random_s0,gaf_s0,filter_off_s1,filter_on_s1,c4_random_s1,gaf_s1,filter_off_s2,filter_on_s2,c4_random_s2,gaf_s2
0971,-0.002451582519248472,0.013334526923268303,-0.03916509866497704,-0.00042373569530536565,-0.05398003118282636,0.035581413166041805,0.019310925095323186,-0.025083154978191753,0.023733838162394338,0.06405052001716567,0.04679632808226928,0.024820305493248034,0.005860895508764971
0972,-0.010961311545608221,0.016045436525337187,0.012085658045612499,-0.0021595989733189827,-0.028199243590896924,0.02561176787599534,-0.014828113606894283,-0.006340067625952986,0.03143016379292506,0.05313939081470448,0.0154371678372266,0.01494982797536822,-0.023586653138144217
0973,0.0013417516065275233,-0.018244427107479873,-0.0034666905481235636,-0.009822680880347915,-0.01507375411920284,0.03680786290723873,0.012948983247928448,-0.010205018198386148,0.022741348777140406,0.05670012444699236,0.0132565483745758,0.04150417206434186,-0.03516710867886564
0974,-0.03692532947707726,-0.006926948555522236,0.0019486809191071066,-0.030212391276021933,-0.01655941994718228,-0.011526655827624004,0.010740782469007273,0.015456665251412148,0.018353605923844822,-0.009719964589829162,0.00888500862139501,0.03163584928847799,-0.016033727224175013
0975,-0.004832660343773934,0.009475908873063706,-0.0054365109633007554,0.04432108879116373,0.004768148729113143,0.01665244268657679,0.009027545321007146,0.019227863658698847,0.049004194686515165,0.02353778980005114,0.02193107172023603,0.042701336617930394,-0.003478916952925332
0976,0.0041897772852091154,0.013579980188614142,0.02732647032544074,0.028690720988046356,-0.03192177823958584,0.00990500780707132,0.0167190561541381,0.018649664766980194,-0.004099834777991112,0.009877486319606173,0.015872093217923187,0.0005705902224873946,-0.020392916731253905
0977,0.008616303270657225,-0.012163990783110064,-0.024639556876178106,-0.0023511408181663687,-0.0011235575461354948,0.005487671775993125,-0.026865582515433997,0.03462426763620786,-0.0045434789819076265,0.01100631360656476,-0.02809403145639557,0.011484971411329582,-0.0031066987127461934
0978,0.030843158378365886,0.023703410394526028,-0.013027774758629476,-0.027161095391452776,0.0270120104427532,0.014707152018140898,-0.020823781838044772,-0.0049743564710229135,0.003936155462388254,-0.0014576627106202208,-0.006374931644069626,0.013714362881929848,-0.019539949584697746
0979,-0.008685533194015138,0.01727503530295065,0.00545630503911314,-0.007214325477644766,-0.015324787165381153,0.004484686581942911,-0.021839843059639128,0.0003514875972176855,-0.03591509628120651,0.01614783773989291,-0.010840440133332437,0.037294394374730824,0.007473317642222561
0980,0.014771424737039556,0.019818275991984848,0.010968477773142065,0.018988749938909522,-0.0018962500065377965,-0.014960756257445222,-0.018757452411045508,-0.014615464711308599,-0.018320081970154303,0.04781530901209335,-0.003385159883792491,0.039568369148933524,-0.0016679074481345724
