era,t00_lr0.0003_wd0_do0,t01_lr0.0003_wd0_do0.2,t02_lr0.0003_wd0.001_do0,t03_lr0.0003_wd0.001_do0.2,t04_lr0.001_wd0_do0,t05_lr0.001_wd0_do0.2,t06_lr0.001_wd0.001_do0,t07_lr0.001_wd0.001_do0.2,t08_lr0.003_wd0_do0,t09_lr0.003_wd0_do0.2,t10_lr0.003_wd0.001_do0,t11_lr0.003_wd0.001_do0.2
0579,-0.025219847667459546,0.012545986363424558,-0.024355131527274074,0.0008024841971873689,0.011622624110910763,-0.022737193604721387,0.007052709732618129,0.02562561931371202,-0.0005747014443881042,-0.021396004952694135,0.02281489758478196,0.012221849379482166
0580,0.012406006349052283,0.006394572401038132,0.02149174136520264,0.02354744475173232,0.014873582551757332,-0.0017285208520612459,0.03863619654105221,0.032402852100226184,0.004085941255098165,0.0054390684115357,-0.0246639275362965,-0.012030187719376374
0581,0.00823274444902164,0.01133631977010382,0.002387174875916429,0.047693037904446844,5.178383925284918e-05,-0.015367693083701697,0.01619416204963867,0.00456852763740417,0.00835150530278368,0.029725648654231076,0.02603940004987842,-0.014369398888839821
0582,0.01463311472386311,0.04485368302469154,-0.0017823836609442668,0.04938041986755044,0.03047195517679791,0.03591772102188804,0.03567025655641175,0.022140871343615573,0.027285937662394046,-0.002056831355476945,0.035807547466336465,0.002096888593104127
0583,0.018784799890535123,0.051284991335341146,0.023208915308129262,0.027412848964863224,0.03164395987668466,0.030006377656664706,0.011974691277119844,0.008957026671254786,0.018449129592434912,-0.017147389545288227,0.03240779960033066,-0.0027362891334576016
0584,-0.003957487500714895,0.039919456202138395,0.012866721874211479,0.01015806686744748,0.004932608067340288,-0.002845623815336128,0.013597979292153813,0.029737265890153672,0.013127997494907378,0.000683937105712866,0.027499327173948023,0.014711126552208846
0585,-0.02077202423475041,0.029580272701139085,-0.004797360928350837,0.03329712149418963,0.004762162203535361,0.008929449471331497,-0.02569057807018316,0.004236849799827516,0.004636966261113092,0.007581736006989065,0.00844082696623035,0.02413835348746293
0586,-0.018481549647992732,0.055286393765361666,-0.004468284624443178,0.04387579264844335,0.003851266054918147,0.011723172794458048,0.0006431619956824618,0.030488199842735035,0.015841899005148003,0.02066372671414819,0.003387467786322124,0.037327630353820904
0587,-0.010640399355775978,0.011034344272315645,-0.018805998095085628,-0.02526195108477684,-0.01061105510204071,0.02042081968706807,-0.011193142523174332,0.0023924646514834175,-0.012084279544597372,-0.006262857858324554,-0.0014255942227172943,-0.025689272621418454
0588,0.008485730074071144,0.059396678610863875,0.05008831578371972,0.008420628057765648,0.006581920863625558,0.0477804163302066,-0.012432201379108214,0.00350440353915874,0.01992596310723742,0.021140479693942057,0.029753263093562216,0.01755143877361058
0589,-0.017100796278308898,0.004065601814508099,-0.01635561269261212,0.006773280705706285,-0.04316803685639423,0.011964225885884574,-0.024740602880047723,0.02817618652533582,0.010726313078381733,0.01349038825174257,0.012242918879594491,0.02839117112496143
0590,-0.007622943485832148,-0.005028858427425102,-0.005985421660344999,0.019354121359572866,-0.013882751772895469,0.0024459974253047126,-0.005307670192002681,-0.01007314428772979,-0.018806700123395866,-0.03988692188312991,0.005114311828832004,0.03052140693465584
0591,0.004474057849546827,0.025642794834394182,0.007455071370140036,0.024705600710275964,-0.00898383991007661,0.02853742577857715,0.015608532392960171,0.04434283718901543,0.015223245073010077,0.004321051360488127,-0.01662779757102793,0.022465894742032682
0592,0.02627564028013539,0.03264861284388933,0.05413602447341332,0.038054242652981525,0.03241258107240635,-0.006426982383489267,0.02193377072036759,0.020814208554657914,0.03816489621558361,0.010597062751180027,0.014445454903639944,0.04990283746890816
0593,0.0002816044014408539,0.02618565493828028,0.0027047756868622997,0.029480075333470794,0.030013046004188616,0.020843757259196693,0.007806154923702635,0.008147722935749162,0.019892665474942808,0.004567644944151447,0.01938213131649607,-0.01871093004618319
0594,0.024545707155204176,0.045337284909581485,0.042335393430690295,0.052772917455216804,0.022556960921608735,0.048414166470384275,0.018779735430090372,0.04188976844521159,0.016230073187211872,0.018815923856378213,0.05110796685071214,0.019445389250177525
0595,-0.0029366112068832384,0.02974607195695937,0.017448451936553946,-0.0003421634931702868,0.0394614783280861,0.006196470986164234,0.018387420321100693,0.012037286830753677,0.007754043974420483,-0.007954275297932144,0.015647988356784322,0.016613092563355438
0596,0.010815316142364018,0.03122510923086663,0.011425470931673946,0.0016471367633800616,0.00988811745895578,0.03600797630467877,0.02733194108701857,0.03354550299514275,0.012606341446500403,-0.0009968759493968746,0.036307985112214634,0.024563815788668206
0597,0.023676298860552093,0.03985422565719524,0.03198931283007791,0.03499855797905082,0.022392118636230682,0.05258721146333464,0.02482098814705283,0.06322493046177968,0.016482424333944975,0.023691012974265433,0.05528697327599549,0.0376118540785208
0598,0.027417142328025966,0.04087241864087088,0.03359200172313711,0.022844067333860667,0.005124814639154712,0.02157789885485335,0.01098732343904375,0.06228836391468266,0.02096687357541391,0.01801461644646027,0.019357186864413845,0.021728704864979607
0599,0.05061212282869153,0.03101599428806862,0.037050058755112115,0.015425305029263257,-0.003020091881081752,0.02648890641853677,0.03348379517039145,0.056905890481308605,0.029634353543082227,0.021050943978585517,0.035016744944209394,0.06366493461801224
0600,0.006046237691896785,0.0585225696026075,-0.008730127405137619,0.02242551946572277,0.0006455047748658094,0.052771544141111536,0.0017173560926055948,0.0298792438518114,0.005871056263623601,0.051803030256362105,-0.004779131956396562,0.04462869338224775
0601,0.028963768995446216,0.06493472047190861,0.02268456267944963,0.029914617739019225,0.03830954643295971,0.03615752651883388,-0.009582602805625291,0.012752662205269312,0.005160924200668287,0.022630396186431992,0.026850879968240492,0.021208385624796815
0602,0.02338900503798042,0.03386732067849748,0.02761165453816037,0.016758553110846855,0.0560444154298976,0.013284910423333634,0.0032519015523821745,0.0058252848313276465,-0.004694788458645448,0.02992000400961678,0.028059432754504322,0.0138501656059052
0603,0.045555658110558714,0.022652588764574697,0.03461802592976263,0.024472586742218132,0.0036522650410709167,0.04305311457816327,0.000726367915972283,0.0004260824607856219,0.02786664040980271,0.025656655414352796,0.01316521104328635,0.014369121319625634
0604,0.02864780401971963,0.03596804958211694,0.030626866420512763,0.002954865053117217,0.018514964132039288,-0.024725337549501975,0.01269810195189752,0.014357091528417614,0.030905501318623758,0.015500602634137727,0.007554113476365778,0.01404265691725597
0605,0.015701550132763552,0.006196375847134166,0.012921563474991736,-0.00461799032771716,0.015154671248117813,-0.008657472625500625,0.013884027389945609,0.029704680821528537,-0.011998601775142505,0.03112967756307377,-0.00021452972639408372,0.055386273616139604
0606,0.030034290848205945,0.010625813474593526,0.023369035306778994,-0.0006389728057685057,0.0217048553127004,-0.004981427299157962,0.010566306265834127,-0.01282233002232543,0.0004083723807744832,0.000792348128874478,-0.012152091674983068,0.03048517660305872
0607,0.009014784933045621,-0.01111026366422098,0.02125724363508256,0.024445816557249398,-0.00430367168336339,0.03304279275343649,-0.015808952237662884,0.025919098764653387,-0.00617584139767815,-0.017385337390606884,0.022798670781116318,0.0013568758914902506
0608,0.014745132778760741,0.007629191801819918,0.005369235639046761,0.01117604977467862,-0.0028833902800011837,0.017908375855309983,-0.027372817865144203,0.0245775101859242,-0.012722209632385963,0.016414596182462597,-0.023445315183480406,-0.0213356152735771
0609,-0.015726459791785448,0.01077603432405588,-0.03277353854973945,0.01932925404283066,0.0006641021491623945,0.0017138711243530039,-0.032039151797862084,0.042088458239534894,-0.017520007950595055,0.0043947785170305636,0.004850927097766481,-0.021230918668784935
0610,0.021527893627180775,0.027425404391029737,-0.0012283303511189474,0.018521136596810674,0.008054395163438794,0.03170057598391185,0.00473028915592777,0.04053117028648672,-0.014196183597153049,0.028148122511167852,-0.00693572951755805,-0.0027158245211639075
0611,0.017395703259897363,0.007261821825858078,0.01564488097679813,0.0007917159062238624,0.01346934375438433,0.051113533030838675,-0.030185839344339372,0.04950703825587344,-0.009279833497149061,0.0299608539188214,0.016046503876783316,0.0005749674368545161
0612,-0.00026685409465639374,0.002367864179816161,-0.0005247670494623628,0.00816606076949286,0.022503745191005314,-0.016833624871292995,-0.022865252415242194,0.013210785359184274,0.01670713779312581,0.005959489116219366,0.02128584201747861,0.03798696336982646
0613,0.0368946296494747,0.04776245347222864,0.027791105037670537,0.038474615307798776,0.02209365606889501,0.015728422269519444,0.02267746948478564,0.03928996756217367,0.047346869886334124,-0.023709500167943865,0.043226590817518944,0.03129246512820956
0614,0.010629423097097919,0.03144352261278129,0.002956868133913851,0.018809621697412272,0.020358331608666,0.016704490845535408,-0.0020446309869742384,0.028742097124578436,0.02223579503209927,0.036784758966990135,0.027108813192832256,0.00444508700673326
0615,0.037937374777260766,0.03709918947502484,-0.01103734270070238,0.02800592093376099,0.040654446236595226,-0.00958773882100475,0.010752458508560691,0.05397206528985235,0.015704786916060167,-0.0076904998530701015,0.010236637587887586,0.03893766868607252
0616,0.005893117973942882,-0.021916387785357733,0.015148001808073963,-0.01596083303038785,0.00969732746888341,-0.003289995211649175,0.015855072641775055,0.03403982855676263,-0.014788049791523646,-0.019420037764851694,0.033750717071673625,-0.007370108737528105
0617,0.0160036655579003,0.01509208637067356,0.006325262099458988,-0.0002682171108693752,0.05221157700218401,0.028540402173796414,0.015307926590186625,0.030412286117900346,0.038735907674953406,-0.017044293460163933,0.049741375777073785,0.01395203116788315
0618,0.010538027517939934,0.0140793442178344,0.005383410013485739,0.01943611433544623,0.008274395049508165,0.03984705402977681,0.04614424789513501,0.029145190558646533,0.06911070585269954,0.020841150448590234,0.04243602329598906,0.01990957677641232
0619,-0.004792137499243647,0.0212821368593488,0.009527109520851593,0.0338080910098373,0.022384566333301506,0.008764996901077942,-0.0036173306078432508,0.002140687833721171,0.020702781643837473,-0.006236802876366853,-0.005291880440861279,0.03217169657196196
0620,-0.0034821632248098876,0.02195899943368494,-0.014396093162488244,0.02127657741747373,0.02305100941011371,0.007773480764368457,0.015731062973943118,0.012553872643589871,-0.025965004678829517,0.009966962807065306,-0.020566409254181347,0.006769640432985228
0621,-0.010446361120991685,0.008418258270755635,-0.00893508681021243,-0.016996886960302268,-0.005933572051624791,0.005639780390142164,0.0019848344641664813,-0.014371355566964925,-7.406153767693915e-05,0.004519885276797846,-0.04160551137639287,0.01598587385304169
0622,-0.0004735046825154848,0.02735290295278726,0.0010613648764305674,-0.00913530082780254,0.03224764647528627,0.008841468857961457,0.018440291489994348,0.01956267606425902,-0.004261544642364753,-0.02247719332593967,-0.03864553257771432,0.021409529209866166
0623,0.022712642433673828,-0.005473644558469216,0.00041174585640017634,-0.039820309234033666,-0.015190458332415701,0.001864190262895089,0.033923974096162976,0.012441668292161062,0.008352592502607567,0.010967069892073446,-0.0009288603353320437,0.035928903223032424
0624,-0.017368127148297354,0.010442579765795795,-0.00880241558573137,0.017934644538301462,-0.015264921239655067,0.03175120422684074,0.043061165010234964,0.0018391576834539721,0.0453225992224263,0.0665758680896887,0.02870987024564012,0.033738133467933175
