era,spearman,numerai_corr,n
0579,0.01214528404119522,0.0014235592404366086,2560
0580,0.042052036168649304,0.027224943340011135,2560
0581,0.017666695792377278,0.007782857046299555,2560
0582,-0.011483672340806186,-0.022430532643382853,2560
0583,0.013130123615687623,0.015861504708949176,2560
0584,0.0024826538401424196,0.013120536494178478,2560
0585,-0.0006339366831212456,0.015291141033656773,2560
0586,-0.014718713726595778,-0.020621992101265443,2560
0587,0.005532605533880945,-0.003096744396971954,2560
0588,-0.027357759087114485,-0.027278985595710563,2560
0589,0.0022349781902840154,0.010813732000706067,2560
0590,-0.025693660392892087,-0.04128976712569758,2560
0591,-0.01984337125825421,-0.00932695529415296,2560
0592,0.0022231854330484486,0.008327715304418287,2560
0593,0.004270680267540214,0.0021072884455730335,2560
0594,-0.009323225797101944,-0.003047369032203239,2560
0595,0.05675682948969891,0.04249055286710491,2560
0596,-0.00542279512755611,-0.013516798375586616,2560
0597,-0.03181680425063335,-0.028432801872378746,2560
0598,0.020142073403546394,0.00935229672132348,2560
0599,-0.010848516139764482,0.016647228355740118,2560
0600,-0.005928766740016007,-0.02003712566648624,2560
0601,0.015413331865760422,0.005230744305147116,2560
0602,0.0151191385238581,0.004083006643588985,2560
0603,-0.0026679859075830785,0.00014472842907923913,2560
0604,-0.010411550302224064,-0.011527882278701124,2560
0605,0.0028342640286976787,0.0023668237237135935,2560
0606,-0.015185156051592926,0.005242872843027048,2560
0607,-0.006231083901896939,-0.01821885516003862,2560
0608,0.0367676594302246,0.0415776024372674,2560
0609,-0.010543583874344876,-0.018899521146119442,2560
0610,-0.033693967695604246,-0.033753236246473375,2560
0611,0.012902852460427215,0.00400271617181601,2560
0612,-0.016369747033319258,-0.004969384555319018,2560
0613,0.004890436727511233,0.0006248909194929533,2560
0614,0.042660494181670436,0.040833507339615306,2560
0615,0.002692470074917088,-0.004001340359556708,2560
0616,0.008126930269802725,-0.004698540610957435,2560
0617,0.025220920314685414,0.03681166694641015,2560
0618,0.01215807274938437,0.016884960466151445,2560
0619,0.004201221538255658,0.0002288330275029785,2560
0620,-0.023095530959132856,-0.015352444068351206,2560
0621,-0.03368544210741329,-0.027491193700023845,2560
0622,-0.001055932259448632,-0.020044935214523673,2560
0623,0.0003510911661161607,-0.008038136220243406,2560
0624,-0.018260843813513235,-0.012273690501853039,2560
0625,0.043642557445211644,0.02296204730760059,2560
0626,-0.023933583297631088,-0.023677799912861987,2560
0627,0.017393301906688047,0.026448355733339254,2560
0628,0.013040210064799839,-0.010489274275051605,2560
0629,0.03210934608312061,0.012676741925284583,2560
0630,0.016574359495817367,0.02518124835306429,2560
0631,-0.008797785826066927,-0.013361297576881837,2560
0632,0.015611676513507417,0.010016529851766999,2560
0633,-0.01026904703129494,-0.013521823039022256,2560
0634,-0.00392467111390056,-0.0030235789447319215,2560
0635,-0.013613601542520795,-0.0037089731507292654,2560
0636,-0.004364294757872754,-0.007170641178610642,2560
0637,0.002607094311252085,-0.0068405702282561005,2560
0638,0.004069184403964072,-0.0020559637111602614,2560
0639,0.015747038229956354,0.016450139673540178,2560
0640,-0.00039937183595956945,-0.006941954749578214,2560
0641,0.010786236170633567,0.006758278800225951,2560
0642,-0.014576587372301525,-0.00490565064219647,2560
0643,0.03297291006013611,0.030425990486304382,2560
0644,-0.0021942708377290297,0.009180332492329352,2560
0645,-0.026428287687087812,-0.017383339961306164,2560
0646,0.02202810465803128,0.02625075325904516,2560
0647,-0.02599268412197055,-0.031976243602332415,2560
0648,-0.009327516114593527,-0.013197972961288187,2560
0649,-0.006070362676833575,-0.00027456205489322745,2560
0650,0.03246328332857447,0.021797152479965266,2560
0651,0.006460111570240444,0.0031249423404716733,2560
0652,-0.0205006461874569,-0.010915845683771965,2560
0653,-0.01719134128747966,-0.018292055742455755,2560
0654,-0.020113424840353958,-0.014380989838761911,2560
0655,0.005226227821998571,-0.012092890736391105,2560
0656,0.004585127159209844,-0.010607170245103326,2560
0657,0.006869951677609701,0.013792428758508493,2560
0658,0.007867435852176759,0.008357531239892605,2560
0659,0.01594380463351338,0.008984198976785252,2560
0660,0.010179215800553426,0.01223357956489449,2560
0661,-0.013072317392557046,-0.006513610989362045,2560
0662,0.016882228832573877,0.004592647479274822,2560
0663,-0.008379174037851395,-0.006357729403580954,2560
0664,0.005281066763150196,0.014571140277467866,2560
