era,filter_off_s10,filter_on_s10,c4_random_s10,gaf_s10,filter_off_s11,filter_on_s11,c4_random_s11,gaf_s11,filter_off_s12,filter_on_s12,c4_random_s12,gaf_s12
0971,-0.010872803458014706,0.009770072917795228,0.001703141021403144,-0.035057931895457195,0.0463087978571104,-0.011221714912190484,0.016855196016397265,0.013982656331298889,0.042502191895912776,-0.006394791162236023,0.00774734991126401,0.02024937151765645
0972,0.008569241994907982,0.02934671661026686,-0.012454785540117664,-0.036907973752070736,-0.0002223716487735089,-0.03617252070329856,-0.007825859317002967,-0.011100323619102289,0.022138588368546545,-0.009622181954110713,-0.0023783926125362097,0.02916372086911345
0973,0.05070568689847131,0.02593861733349922,0.004002810017498568,0.03976604518518565,0.07440829124144242,0.02419011432354895,0.005637764538930364,0.0057586055419187,0.020984405082747765,0.002087974944648419,0.002990908472915696,0.0298245445982981
0974,0.020401202305911307,0.0082209237755912,0.008753329331221476,0.007501759742361246,0.052441253417426004,0.03623360679474552,-0.026629107053608526,0.04759002885248974,0.04936227287305083,-0.01478152340387655,0.013569203451886934,0.0457337496259128
0975,-0.0021761944578876447,0.0004720013900559536,-0.004935948848968084,0.009098722576331967,0.01334151166380657,-0.007371904400409965,0.012220824581724677,0.0051110967444709795,-0.005173148521833572,-0.02108554781849148,0.007854582193061083,0.009163373436525386
0976,-0.0019213463793238703,0.01469906724981479,0.035054712214299906,-0.009018957649841359,0.010452344709276636,0.013154093440857318,0.01736931876363645,-0.03498423649625904,0.021587854685258513,0.002599012709005023,0.001347461435333323,-0.017261318068935504
0977,0.04552865455907934,0.04913275168948734,0.0009051629741587364,0.0018689175982753135,0.009932156766584052,0.013598618179737048,0.0101907816584416,-0.052686851333157605,-0.005806276592610522,-0.006095106227047905,0.029139695793911416,0.005076387906473125
0978,0.019909360686308657,0.040280928419324125,-0.0038771244290941357,0.015678054278388306,0.02353294707072327,-0.00024739241448047916,0.0017006497876407662,-0.014393249869892499,0.026798955454378725,-0.009841740321221452,0.017585197857820565,-0.0025258868742190728
0979,-0.01581448356289006,0.028022813686266645,0.03067033483862689,0.02814732897230287,0.0077339875119438435,0.0002772104795070063,0.01487746603567495,-0.0025730397153344736,0.01252998365242602,0.0005105904803665632,0.07685582427508346,0.002776392261091058
0980,0.0071542100241731715,0.00961681354173128,0.027641579963056415,-0.0004558213601482157,0.05271235581880712,-0.006681652681856158,0.032815930233270195,0.003490679540561049,0.018796175204077805,0.015485226183468887,0.03134699126729173,0.0062396172039945914
0981,-0.038398196452709726,-0.014780381689758043,0.008767915599110774,0.0010606570440438638,-0.017472496646025636,-0.02730785844597966,0.0413228865744266,0.015710884048902092,-0.0016564340422865805,0.0076741261527890365,0.011087561951207412,-0.012695296174267954
0982,-0.04552721342276911,0.004885854032777352,0.003717630294641787,-0.001642221725179376,-0.009220102076798428,-0.01892664099541202,0.014543022807051597,0.001342674589709936,0.003232044232121262,0.0003945877835745006,0.01452959119068987,-0.015220771126050938
0983,-0.009041001302202605,0.0029860581103435826,-0.010788015455691937,-0.022718948459573715,-0.005149117554123309,0.003709392395906533,-0.03338877840734694,-0.011629415706635254,0.04664966930596008,-0.04122064785411991,0.012809000249200744,0.000898745344955048
0984,-0.03394152150338988,0.03534738120552493,0.00021704325725203195,-0.020948928066253935,0.004711281875771914,0.04202713071198031,-0.04677912248935862,-0.014228662797497403,0.007524162119835799,0.011446918968794444,-0.026067808354035986,-0.02197403820262927
0985,0.053124241129663886,0.022259954499860672,-0.0030029778760781245,0.021104640278311902,0.059462333055581566,0.007526387485242052,-0.03449073397932322,-0.019747760418307926,0.026290464401483773,-0.0037508093846715697,-0.006191168053352374,-0.0061351224115205796
0986,0.01701046181459913,-0.015129061828091971,0.030675650971763977,0.011307049741427527,0.0581708223102235,0.023026173220688107,-0.018835451386318505,-0.01797753314808957,0.010866606305695005,0.014862517011510017,-0.029617085564763626,-0.022032331847374607
0987,0.008900499456676082,-0.03533785011999887,0.014848798723195222,-0.01703822232458024,0.014187091505064336,-0.010596395102540606,-0.06602690482222184,-0.00080027014964521,-0.02477137550416927,0.004081599972381103,0.0028653975050683456,0.0037084227277553467
0988,-0.0071821732240742115,0.004319221177789022,-0.0021601027177176615,-0.028630218522373085,0.0317834336300322,0.009355136996249312,0.0035915867369901992,-0.013560013145835064,-0.005485435554668874,0.0056417895425680525,0.0187775122400037,-0.0217215927151338
0989,-0.0408127131965808,-0.019546858397804217,0.03632329666790971,-0.005860396107478062,-0.009635918085891823,-0.006260840554522182,-0.008910999981698779,-0.033027923654150526,-0.021988622214417036,0.008403623205439439,-0.00308562351439636,-0.03109737427484207
0990,0.0486960737920118,-0.011350847061096393,0.011790506938738633,-0.014791503330397048,0.029201089942459867,0.013974459693043383,-0.053641140935900784,0.032560360790201845,0.0063778647367957126,-0.004844870861852321,-0.03887776621081595,0.003906287374340501
0991,0.0010814915708106702,0.013158859968587882,0.00875008440483132,0.02145356817985339,0.004421176061459789,0.013845215654623601,0.013897886700234131,0.012687887298745521,0.013477977605681283,-0.012384509770486019,-0.0378041551352957,-0.002820252606499157
0992,-0.014570534570883286,-0.011123618101969459,0.009087818809505986,0.0054053735565487695,0.006050880395700125,-0.015379873108867936,0.016400751935814948,-0.0013907055214548334,0.019519639910925514,-0.01030012693912499,-0.009893974396856256,-0.005715064459819477
0993,-0.013723709536054847,-0.01178632380372034,-0.01649549767586497,-0.013631048670523529,0.031828895567787854,-0.012895021567629793,-0.013660302714244446,0.0020598045144681913,0.021079408206036813,0.022109494832340187,-0.03473287037096069,0.03297593761073573
0994,-0.027630020094795045,-0.03290479232994592,0.0235964616321731,-0.017450122338093142,0.02763497812446033,0.006657704345684661,0.01954908822094511,-0.04982942421780551,0.03486072779681278,0.002451666278696959,-0.014952712045802155,0.018283119037442813
0995,-0.0317833344595562,-0.006113902114823244,0.006211053339246228,-0.004795053567206647,-0.008717270094958903,-0.00830851649159939,-0.0034470930966000487,-0.021382321409705866,0.04963345039427328,-0.009039375330992873,-0.008023945354440638,-0.003360462234045549
0996,0.0015959965593071337,0.008709191952958158,-0.011657893858663679,0.008063077077437876,-0.028755911583723925,0.007578342618710545,-0.022438301260751997,-0.012714399311967392,0.025700345852088337,0.01814611635251729,-0.018635485443429474,0.0015663872346223023
0997,-0.016231195584798647,0.0117243172613359,0.007575634541345128,0.034023581387436705,0.02125977821511547,0.014850594442731749,-0.02045960460122154,0.0003865517182430632,0.0395654158291797,0.009801520810468808,-0.019559794976990442,-0.021622964733818053
0998,0.02881366389977121,0.032835462317087,-0.031170125516146133,0.017579851803020706,0.019144106301115515,0.007391173905486617,-0.04188473754674828,-0.004667278667650741,0.0460359238203561,0.010537952522904494,0.01430920180666144,-0.00566511052167704
0999,0.014829516348099935,0.0019746734351703036,0.01624466148381875,0.0059228037868747875,0.009579090173051067,-0.01694717573580811,-0.009023580230155795,0.03750295237946016,0.029790551912280583,0.00904756391863602,0.028056578169299174,0.0009891894411210905
1000,0.035387820043494084,0.001209677378306207,0.004497710301575331,0.01319144040625401,0.02691966245021559,-0.020076121047260347,0.02294116936404772,-0.013091269678985652,0.007032058036484781,-0.014397270644847969,-0.004117357418011302,-0.0025607383175945174
1001,0.005399327671261146,-0.025195465874734046,-0.01913760537988911,0.060464833977886066,0.043359130005464756,-0.0030989081783041736,-0.0010817516443138652,0.00189344377031841,0.025135071788717243,-0.009180958827920907,0.003439225873536996,0.018168446227231384
1002,0.018606898052945544,-0.016201135651299353,-0.020447619832251233,0.008163054688035434,0.03077550053491816,-0.021086280713786296,0.027872877895988007,0.027559913467056132,0.016881539745634944,0.007219609690884507,-0.009391530109235302,0.015975884473356686
1003,-0.03253358206197866,-0.02421120065567834,0.03385573456390116,-0.0201540635069429,-0.03370082225024425,-0.017452182718240568,0.031864456985902206,-0.004241729296123062,-0.012014188380079649,0.006645460520219669,-0.0043254379657913355,0.006790424304735665
1004,0.020442404534272582,0.02205832299433358,-0.011216081433925018,0.013862009644399147,0.027212124205371183,-0.006855283472867747,0.020789727206793306,0.018574597539793725,0.04293649802424688,-0.021293190002892218,-0.009089790486952338,-0.0013536562698440056
1005,0.017439965791989233,-0.009111564888967492,0.0028937309310008035,0.008158292650616076,0.011934545584233562,-0.00566144592060209,-0.0008207938232794072,0.01306219566365061,0.026116431659570442,0.0010970123626504256,-0.025437084494862927,0.0004598476894106962
1006,0.029528582600125686,-0.013607598989060176,0.0010761075891596629,0.005932245598333684,-0.0214366010300988,0.03147686089387508,-0.03831921688466899,-0.015442303376020984,0.05768982898127969,0.010063739490824565,-0.0028794381338652095,-0.00886055381701639
1007,0.003136353337136813,-0.014325001552660697,0.034640067671200855,-0.012455741193926523,-0.007345694868385355,0.0024854984294521835,0.019469663488430534,0.015699459107684666,0.006221961934751541,0.018310749251008937,-0.036512311506523946,-0.0026670803558557186
1008,0.023154087725194752,0.01871446582814304,0.024475195746898402,0.007866691647557258,0.0028133798978815417,0.007591332660812101,-0.002139369483973845,-0.00027712450917801216,0.033954260113014334,-0.015226280195948285,-0.0055129607725569255,0.0437838658718477
1009,-0.038150069377177215,-0.010355307881911587,0.004973528125151254,0.04335192699752528,0.03436724789204835,-0.02068769292577446,-0.037729076966249775,0.0007507027120024029,-0.017364346090617575,-0.02132034777685794,0.012271603641823144,0.03592807874374363
1010,-0.01090112997271696,0.03066227143900482,0.006070012309214148,0.020102940264757913,0.0053609557165756536,-0.011432844611615839,-0.01635649702323641,0.0166505254119841,-0.006472410294121547,-0.02594739796410113,0.007236656993119011,-0.010034615127016372
1011,0.018080013918786293,0.02044728656824538,-0.004662037350702865,0.05739430316295236,0.028595277512463785,0.01635593630386847,-0.02972531623163294,-0.008595195360601842,-0.02487720104307265,0.00876688092848269,-0.007513077874022,-0.018542588763154674
1012,0.05216423861857265,-0.041199139272882,0.03919192640890256,0.03839078611090581,0.02693201165194293,0.02086284117100248,-0.01253984505689339,-0.023109930883879047,0.037975850156886086,0.0216247671217778,0.01183766555191212,-0.019292624813917678
1013,-0.029470718171774754,-0.02860229027677107,-0.00609652549035942,-0.009990983208912134,-0.01796298468205624,-0.00294250937920359,-0.004085684407094155,0.026214218784138047,-0.008358202963805482,-0.003926014115206236,0.0056683136261978595,0.03289168704054245
1014,-0.005097709403054285,-0.005143074271098653,-0.020431227434194607,-0.01929293380668985,0.017589883472212294,0.005192638710897299,-0.021478277371854926,0.004824025659421517,0.015047944873453463,-0.022327124190812824,-0.01843060510770048,0.03995754377186112
1015,0.00030710233554071453,0.008032061863912532,-0.007166273524158667,-0.006722586629054489,-0.036609409661897845,-0.013681678356662003,0.0020816926170779165,0.020743918179279515,-0.04205449854459915,0.01689689115785639,0.00213957009915174,-0.009543302065840418
1016,0.024398403794219686,0.02855845757809095,0.0020775083891523276,-0.010776755365670108,0.005652201002699106,-0.0032388821177271017,-0.025249422238996854,-0.0009816204993442444,0.02908086989957606,-0.009486425667909366,-0.017703952192741325,0.011950919323269563
1017,-0.011278923264363671,0.010683555453828812,-0.006504306379687689,0.0015516051329820576,0.02289484075487604,0.0105821542471,0.0067893779020746425,0.012767055555726391,0.029025121382020354,0.01575466498808774,0.021440055483794584,-0.0012483339851806887
1018,-0.025060707554273955,0.0040963470489830634,0.024743646980555974,-0.003391180255960282,0.038286656128010445,-0.013679671434779689,0.018232336793640128,-0.00030844910079587574,0.05150860037068222,-0.004677940116177638,0.01856035862747257,-0.007637519520700978
1019,0.022885791135639277,-0.0036405991509905217,0.0028395136377978004,-0.016575301275947696,0.038811915610864126,-0.03087707798009647,-0.0057064466597302015,-0.002478248598951619,-0.02449614327830479,0.0008543873355166936,-0.017743610739378093,0.004288574531227285
1020,0.008093395961995133,-0.028309109931121287,0.005790844120088169,-0.019231773258776345,0.050727038591520494,-0.018160949867879236,0.005195252520676231,-3.3702702430347636e-05,-0.00193073166300901,-0.0020657620269667193,-0.016837682120615562,0.019526400231431325
1021,0.04303231269416326,-0.014060174194666689,-0.0068830290308199375,-0.008105957735480887,0.019125084199610985,5.6386301594120336e-05,-0.020245085802030507,-0.010795606518535525,0.02113663858612943,-0.024460046779519098,-0.024347631732159723,0.0038676103244101594
1022,0.004482238819981588,0.009112406155961584,-0.026623886995471437,-0.021622620800939303,-0.02999641081337131,0.021906431541849673,0.014801585093923174,-0.01753806511388621,-0.002031716922823916,-0.0068355422103174145,0.021534997824775474,0.019846110089052297
1023,-0.013694258168138462,-0.007945918570227665,0.004874801191623138,-0.011889266308634128,-0.030628909462812038,0.014601881570233588,0.004583496420566,0.01311001861238524,-0.036981732802976446,-0.010400320557594834,-0.040210569992931634,0.004692099566744843
1024,-0.06776127613392512,-0.014286852169471367,0.017159169715275653,-0.010264460589987267,-0.05185812177611425,-0.004504834969508501,0.02652816225604404,-0.021305136925401466,-0.048753446420490336,-0.008202040240010975,0.009623159810536398,-0.047440081027530466
1025,0.0020181569329030596,0.03990215290217428,0.009748008140544608,-0.004482222966133979,-0.022990375453398815,0.017090078326422217,-0.023527626778302148,-0.07560776208428278,-0.06153290266334053,-0.019819498489801735,0.02237063924536057,-0.01892783041721719
1026,0.03373171131121651,0.00992259473703941,-0.014619314354983348,0.03424863419937126,-0.04497785142359312,-0.014915570077710846,0.008407696858409764,-0.031197526945988825,-0.0032802615630502015,0.03518951580840557,-0.004829874119135117,0.025618265751682395
1027,0.02937189679736909,0.017236323924605258,0.008203583704594326,0.0031777127093951104,0.0071705602099825525,-0.024151785004447344,-0.0008337653174289567,-0.009391831675359365,0.009704780687487626,0.011217699770827387,-0.007067912444846746,-0.0012685712943354237
1028,-0.009135416079909905,-0.03208270712386426,0.0063042453301368215,0.01038757829081073,-0.028373190160843706,0.023982221712747297,0.0418541460716271,-0.04871749082376718,0.0035088534946674617,0.01891727536907787,0.0012775699414565916,0.029152760856016594
