era,zero_pred,filter_off_s10,filter_on_s10,c4_random_s10,gaf_s10,filter_off_s11,filter_on_s11,c4_random_s11,gaf_s11,filter_off_s12,filter_on_s12,c4_random_s12,gaf_s12
0971,0.012003611055955946,0.0051913619812337716,0.004621072224211981,-0.007248726248700864,-0.05540143029591155,0.018583763639015816,-0.03539001662636994,-0.019016396168767043,-0.0011856732016723292,0.04243154591814184,-0.01887217050024055,0.05044288060578249,0.03329615129046987
0972,-0.005109414413048065,0.049614883295571115,0.019594128972194428,0.007687012402065303,-0.0031311473963833688,0.02351353508505524,-0.005729617880980089,0.011820523158973183,0.01868776760217216,0.04078993810493591,0.004745084460913285,0.012388523662195684,0.021950209394759963
0973,-0.006946763740443714,0.04246769372727378,0.005976131535995516,0.008417858329042382,-0.008247267094823381,0.03106133921714596,-0.011038817870191047,-0.011479995830057613,-0.00870977907413842,0.019974595605063858,0.00528950668663871,0.022299795201134592,0.022527807862348464
0974,-0.02393462974348476,-0.0020045637783411394,0.018541427946737986,0.015616917184618688,0.013939426720125785,-0.035502161735226044,0.028436885282319344,0.010977234767398682,0.021126380133717263,0.03490474871923342,-0.01901039999795318,0.027650638170757313,0.017756693739992876
0975,-0.015788349949068203,0.01821452129453749,0.02820879706195416,-0.009087171475200075,0.003558467299654697,0.002497187994627965,-0.008028776923890714,-0.007759670666400104,-0.014164121441955774,-0.010392238846801918,0.02222575042585185,0.003804498418666627,-0.00857253313642807
0976,0.018114801709441273,0.02088686712954188,0.031529469304508916,0.01737510406794767,-0.0044974823319364355,0.03916321970441342,0.031604669160815384,0.01658181273246115,-0.01759704835003605,0.01313114970712443,0.01925734660463387,0.0028520830842427756,0.019338953236522398
0977,-0.007986575148927718,0.017510887401385324,0.018320313898313123,0.006736560651399577,-0.008590065924707575,0.018201127650527928,0.014329848301752506,-0.0023797414194601015,-0.05252359776928612,0.002401952588653395,-0.00047945529868131546,-0.04889712534105342,0.012185081603397135
0978,0.029470196852800598,-0.007641794650179006,0.007994041935308454,0.002389427708325062,0.0051513634597780905,-0.007127495175490152,0.004128386181667629,0.00939926254333388,0.0019650507753102204,-0.024420199679858656,0.016083787933449216,0.02422482672304449,-0.01016506655421754
0979,-0.00720226222229238,-0.02554249492575737,0.038208047571666584,0.014072205666996684,0.029152440646350357,-0.02742348985355536,-0.000533745597477707,0.03847072889225731,-0.019192553264285463,0.013229082502588516,0.01190974624144764,0.02255595263656143,-0.008375098818773673
0980,0.004171794465183303,-0.035530038216086406,0.033423378403419426,0.021312085716936918,-0.03530712922878102,0.017883020695620148,-0.005655414574002157,-0.0025475063394337855,-0.003994461516492813,0.016700155952274868,0.025712073261018504,0.03460361319335633,-0.01642456202578284
0981,-0.006832268114397686,-0.06158157018018084,0.01686162256054834,-0.005226994615864622,-0.03686173357511139,0.0018126821172206294,-0.009850657998729308,0.03144992313622509,0.023641920297934594,-0.007406855763446479,-0.015577978948463798,0.053924198955383786,0.04135067185354938
0982,0.014398356564992129,-0.030603193806853658,-0.014480349909544821,-0.02377978260704618,0.007065751581634685,-0.01331661871989944,-0.0016762005883361598,-0.005692881618293121,0.023884354674716293,0.0030950288607843224,-0.015161296630606,0.013624964644536972,-0.019705309047786983
0983,0.006258316107658149,-0.02370286188913153,0.022955160047453068,0.0037931282149497553,0.002897119299641357,0.0010028148347274203,0.006950672891841158,-0.005148821011937265,0.02350616877515063,-0.0006464938604159295,0.023355596676764224,0.01845055276879611,-0.005069808809724426
0984,-0.002749969066326471,0.0072082077839976545,-0.0021045986491087226,0.014399108066662187,0.008217101713197204,0.037515149305734664,0.01287043171381273,-0.0358056421012519,0.005528013412122586,0.019727802659143114,-0.00029820956552473416,-0.037076642530669564,-0.012428959480430591
0985,0.0006211810579945049,0.011186447806937313,-0.0329055685430314,0.0019174324406584387,-0.01019976635438571,-0.0010716219817763942,0.0039126748163698195,-0.001327457260003019,-0.03257129310820778,0.005624845883792408,-0.00943716856523129,-0.020716067048976616,-0.01960602907560321
0986,-0.014441219236408847,-0.006853761579260812,0.004121767697689013,0.05187157383729678,-0.035921503842864744,0.005952359608256548,-0.029162388511704728,-0.0452327992089474,0.012525161637481373,-0.023621300072050613,0.02144235878562395,0.00908586671749292,-0.03164005085271622
0987,-0.011895285170965761,0.00753275645378364,0.0017604887690257163,0.049181802818526826,0.004504908431193251,0.043431120972049826,0.006664775672707873,-0.04690552797377302,-0.024381342008134372,0.028413751805635972,-0.0036261277413058035,0.01632520801564238,-0.010197702988739638
0988,0.030921788516925272,0.009111552164663961,0.007338346998801349,-0.011153331597858597,-0.01972614574945501,0.05996898939199526,0.03084096124733657,0.02083010169427603,-0.03794450974508702,0.00601041858404127,0.009339569310576057,-0.028113590961136324,-0.007277047413718964
0989,0.006334168413867743,-0.0025035979186873282,-0.035596707844719994,0.017973367542696666,-0.0005829408822720645,0.011369398248263819,-0.005387457155536848,0.012632499993188996,-0.06158373768206116,0.003974464137228234,0.00033048023948120507,-0.006008128075126316,-0.01887349334289139
0990,0.037508905448600326,-0.03741403539238293,-0.006949131757183185,0.03072794765804963,-0.0028136985187386444,-0.02454430442400464,0.009034061477208819,0.0036333209640532034,0.01881705823551578,0.013756769987805126,-0.013958625112817015,-0.05250756622972396,-0.0011588865083240554
0991,-0.015474168130002939,0.022259727872254897,0.011453551557343542,0.007844914360925331,-0.028821103746539175,0.023122884949521312,0.012122941290269463,0.03455037898097011,0.006786949266031607,0.04346349971077834,-0.02773606552669717,-0.03294861736637466,0.027209913538938264
0992,-0.03331014284354576,-0.0044570471718697715,0.01385921883846752,0.017023151407574832,-0.00088717059902345,-0.0031180399023974627,-0.007751445681785456,-0.013675358863688529,0.02900451481115309,0.026825275965711107,0.004779953383391642,-0.007699068729404874,0.005294100983037002
0993,0.02347581162998564,-0.00575771092377775,0.01057244612922389,0.002100237084310528,-0.013479331667872888,0.01579439953456635,0.0036183682672704387,0.018858308295411488,0.009285784990836824,0.029990441517394845,-0.007841701346721389,-0.021557350846523167,0.017277099223468262
0994,0.03243510193855231,0.009430963796200046,-0.010739292034428768,0.005674814621471536,0.02522380880363886,0.046997383925720844,0.008193965368373565,0.0036126800352787006,-0.02172197077974466,0.07198965643197756,0.014165090989795247,-0.011109096064439153,0.04686880836229246
0995,-0.019324202697762378,-0.02001080272458496,-0.00330642173247398,-0.0011088754582696007,0.016421356538711646,0.028478710242350175,-0.03708448955316878,0.0037518957022106697,-0.05502880761469118,0.059446709908507346,0.005771223173308372,0.0011430591646647374,-0.01089074602386355
0996,-0.025939632232398833,-0.0022687795049284427,0.02325112898945054,-0.006340001092433327,0.006198554313650006,0.026635247720573824,0.026853707707033218,0.007522819192447486,0.008278142714474131,0.04297133590277156,0.0322249869774409,-0.005671435558711905,-0.03651273956150263
0997,0.019090201067378985,-0.006962040242703293,0.016095521297632396,-0.01573706852302285,0.025470820194684364,0.029656014555206944,-0.015388453253238175,-0.023503589843074716,-0.020488505941342865,0.022213552427331296,0.018995958146763907,-0.005859990009755908,-0.023545455501312266
0998,-0.00773640906985071,-0.0024677472858111744,0.007630921509368618,-0.0011308221485359417,-0.005401864887389838,0.00501997704263373,0.017584233922702308,-0.01505966129339947,0.030274926091044624,0.014203736428572753,0.03292491016964021,0.02300179302798557,0.001577741635627993
0999,0.007369680668942598,8.114844559740216e-05,-0.0039391723867462595,0.014165870622177588,0.025280064067882236,-0.01937757297789601,-0.0191596712189558,-0.03894630436460869,-0.0018198703383219188,-0.014425038880043864,0.025461768531404052,0.030966325369960204,0.016884441159778964
