era,zero_pred,filter_off_s0,filter_on_s0,c4_random_s0,filter_off_s1,filter_on_s1,c4_random_s1,filter_off_s2,filter_on_s2,c4_random_s2
0971,-0.002451582519248472,-0.0027059918080541215,-0.021510155595068286,-0.027561061081660676,-0.0011426618943247405,0.009755068713600013,-0.003998652745511245,0.020475958474033027,0.005200725865519566,0.020114308238684188
0972,-0.010961311545608221,0.005258315007709431,-0.0016970182373192493,0.0074979807774626095,0.0011825354300913082,0.034861697795605655,-0.005441488119133301,0.031808930529243606,-0.003354102571370585,0.003947172830369236
0973,0.0013417516065275233,-0.011248997673731949,0.008952252249742982,-0.008902343737108458,-0.015668421857024058,0.0012365885084406295,-0.018154092208130957,0.006662902580189208,-0.01758079216965537,-0.004905898288496566
0974,-0.03692532947707726,-0.006812065519699521,-0.0013021474318474747,-0.023332213175377196,-0.010727428319533027,-0.025793201914636476,-0.004904195897108306,0.0005313436234198927,0.014835343891621037,0.013644030358743356
0975,-0.004832660343773934,0.0060464240552783955,0.053462946279821365,-0.011154467767519482,0.00828080264841066,-0.005291294887547299,-0.0011471641282054493,0.029560484466214385,0.02435389963570524,0.007886529505629958
0976,0.0041897772852091154,0.01961031622662512,0.015172822113772971,-0.010152039170701462,0.031923330853072834,-0.013011722468565629,-0.007832649860035857,0.04247441474107905,0.007145722041684194,0.017139936904750668
0977,0.008616303270657225,-0.0036051726170092074,-0.002690833881140862,0.005466983756763147,0.013859951602763891,0.007806752782478716,-0.01878973934280017,0.012533539189133712,0.008330454664834277,-0.015836198465918043
0978,0.030843158378365886,-0.011725329294726335,0.006840375506282335,-0.0011056180993863302,0.012198780299342344,0.0025715564065296507,-0.03413720896670914,0.04104640203962762,0.0010199367792324498,0.005354924177231768
0979,-0.008685533194015138,-0.040994955620502774,0.000389982018958213,0.005374140152494259,-0.017091893791203447,0.011000461495784288,-0.03105413274224446,0.02989804171861076,0.040243162963790796,0.005704813406886171
0980,0.014771424737039556,-0.02702318902693738,-0.022447810687890996,0.01639163674394363,-0.008613977823899232,0.0014209208673735287,-0.0061458401973525575,0.031391396301832776,0.011185757657021168,0.003103937436488414
0981,0.007994220539171138,-0.01566791280997683,-0.030477344023009497,-0.018223550563882453,0.019145723324970255,-0.01735157623182725,0.006112733973866433,0.0023548173841631843,0.0071006166523885595,0.008242313190553505
0982,0.016797622426567817,-0.0043752902567777315,-0.025795556192570353,-0.038033400293081165,0.0307686652251968,0.006514362939244449,0.001741794033990175,0.013034424533043112,-0.01722997213284222,0.008980288803461746
0983,-0.013244689333901964,0.03236040509108239,-0.0015738759624752874,0.0003776980083038166,0.04360169201439477,0.018924861738322103,0.019502080291065347,0.00418699755805479,-0.006501428673383541,-0.0008289283196375115
0984,-0.008063413250391296,0.011964992357039456,-0.001420420211139255,-0.012253403080752229,0.02492470501409544,-0.03389773309542374,0.01869007792971667,0.03984543522595934,0.025054349851606737,-0.013927158673367575
0985,0.007442146132931644,0.02191107715444918,0.005174937600908978,-0.026128843109453858,0.030729623023488504,-0.02056756284402709,0.0010459522627019266,0.01726348110595887,0.020444080261395246,-0.007465488859344799
0986,-0.028728886954277333,0.03125216735243246,-0.024899179294730324,0.015730238028857126,0.028456738046464664,-0.026449944517408716,-0.011743579383337276,0.0315805555433409,0.02478157512493364,0.03259571360738248
0987,-0.007807374649021647,0.044350794465678085,0.021152042598604676,0.01709750195930704,0.03912643934208897,-0.010979758714524744,-0.028136413928581547,0.046597995297264126,0.00527434270525508,0.0003786476811628151
0988,0.014611095856229973,0.03917850543950703,0.013406185944405182,0.0018237741963534147,0.002384508894499963,0.020834286936328817,0.023133863980066945,0.02077145631786109,0.016121713246435826,-0.007905145716233655
0989,0.006647735811050316,0.05902613951485106,0.028384913253024443,-0.02280981477973477,0.04419498759546898,0.007199767991567188,0.05144276275693652,0.009867130887781317,-0.0059463817642135975,-0.05118310213015961
0990,0.03639737775449533,0.0034142600154655352,0.03355903309512186,-0.033193305678690735,0.003885884243896126,0.04131596945982375,0.030874309582912852,-0.015179192917967647,-0.007034943489979413,-0.015885289131762213
0991,-0.03159008478047507,0.015395022736555429,0.03650974603835351,0.003870703802717627,0.03821966628906117,0.019075577901095254,0.022733494790996563,-0.002976948526683837,-0.008869182714346283,-0.025464426811355363
0992,-0.022186351353680845,0.020959340621375323,0.023939737536664608,-0.007559651452892936,0.06900349157837905,0.014898267840119642,0.007334604843325834,0.034287869646976644,0.0008214056739465588,0.018312316664180647
0993,0.01894353757027376,0.019916193173684475,0.009695178340002043,0.011206754088800607,0.00858563480980969,0.0232078885342096,0.0010470368402325024,0.0018823629357701429,0.0013914757492835468,-0.007225072332975245
0994,0.02940604392436243,0.02598124862634822,0.025370956691077088,0.010674873225282653,0.008346906796232777,0.000326504429373635,-0.0015995148053598676,0.021053046979752237,0.002698248313292439,-0.010597060248765193
