era,zero_pred,filter_off_s0,filter_on_s0,c4_random_s0,filter_off_s1,filter_on_s1,c4_random_s1,filter_off_s2,filter_on_s2,c4_random_s2
0971,0.012003611055955946,0.0021546531091090272,-0.010233554114455305,-0.03200863513614546,0.006469214081412577,0.008439162508929598,-0.009131648567379056,0.036914180429531526,0.002373262031958366,0.02127658761634814
0972,-0.005109414413048065,-0.0017210702837626192,0.0052814267954911474,0.008184900611107207,-0.012633040642216807,0.039521151714188095,-0.015055446427607906,0.036096534861881455,-0.0064415076108023835,0.008190228765555342
0973,-0.006946763740443714,-0.005569059515888191,-0.00749799151167915,0.0011999153734769915,-0.006261397064452782,0.019167156780569294,-0.03284210133062692,0.020997776990665965,-0.014834339306439579,0.0012791182872035646
0974,-0.02393462974348476,-0.011905375786206871,0.002031757277145633,-0.01025058681383428,-0.018450706140282665,-0.012166686842379244,-0.029298856013595116,0.011081101215547192,0.020468642807863136,0.013842622541085174
0975,-0.015788349949068203,0.012971053388373639,0.04115575415236954,-0.011817488582895514,-0.0019761967039971687,0.012838424109380244,-0.004649998758219619,0.02717053662180652,0.029402500441115278,0.0012131757379197292
0976,0.018114801709441273,0.031253945600530394,0.005967247065358931,-0.00628854270603155,0.04316661292097199,-0.013871887640854117,-0.01494500854739783,0.060256228100414505,0.01364351041333085,0.01679562507133063
0977,-0.007986575148927718,-0.020206798802103507,-0.012382010938702219,0.020946252761286994,0.007752973317416962,0.0018241957697238812,0.004787276635164252,0.02715465560872531,0.017439003788686375,0.002993116331811989
0978,0.029470196852800598,-0.008481623402977026,-0.0010208343989230643,0.005654207712427951,0.009523262235084871,-0.0020994546535732257,-0.04216839411454626,0.03797502852242561,0.015586970128660728,0.007552733349501908
0979,-0.00720226222229238,-0.026540637578859636,-0.021350927308728472,0.020035760053864687,-0.012983843359460002,0.024625793296262875,-0.03629207694331217,0.020163230448497448,0.027513782361048355,-0.00506633396901198
0980,0.004171794465183303,-0.0024334439865554914,-0.01925743084027438,0.016565940344508256,0.005030750061608592,0.015624272211195622,-0.025966580298545736,0.03822003834917624,0.01159964569478328,0.010913472855552029
0981,-0.006832268114397686,-0.02463122175710175,-0.02808193619786957,-0.01690879636311706,0.015081191722095289,-0.013483895585653159,-0.0061311205683831985,-0.007942469228260507,-8.472598099482794e-07,0.007506346135401876
0982,0.014398356564992129,-0.010370886281631863,-0.012836057782640117,-0.026486876456051214,0.017238406296754796,0.012018453480322842,0.006228755557990434,-0.0001596927880543444,-0.014263633696655875,0.0018508745496436058
0983,0.006258316107658149,0.029278954695926982,0.004515584823915152,-0.009465737813151768,0.03626154209918392,0.01798583124875635,0.012123165575773498,0.0016828673440028783,-0.009199410567419766,0.012336756168287947
0984,-0.002749969066326471,0.015305815197772453,-0.005876631280481612,-0.008752294621789844,0.022979184410881245,-0.026273428759481132,0.033578131546749934,0.03851450881024258,0.025524877563476416,0.004635559368048526
0985,0.0006211810579945049,0.007194324471992609,-0.024813006070805946,-0.019587277260097728,0.0012959702920879673,-0.011604428005458913,0.0023163089762719786,0.017770995964273777,0.029253606087521714,-0.0076448214740621415
0986,-0.014441219236408847,0.0328627964833964,-0.002895815210515579,0.02622749648085718,0.02343542178833611,-0.03735064541787792,-0.019300248779298746,0.0523828885073085,0.03100656126013689,0.016057632305994066
0987,-0.011895285170965761,0.0332260291209591,0.044147238746694295,0.009658959364949758,0.0312132311001211,-0.0025047869355755716,-0.032002178312688395,0.05150483151460138,0.023006690212083056,-0.0006281339770158233
0988,0.030921788516925272,0.026599808415761386,0.021070246141398068,-0.012012598522342571,-0.017076765590054187,0.003488203998306194,0.019950012919234466,0.011848294600092056,0.02261582701924306,0.0018845412923356214
0989,0.006334168413867743,0.02707583634836314,0.019484226773849873,-0.03146821408475919,0.03767911794286737,0.008012399085916293,0.03926233293184091,-0.0008445857097251111,-0.002961754762014935,-0.02907110445155579
0990,0.037508905448600326,-0.0037256257826826437,0.024995817876642387,-0.025540640553181778,-0.0051379114567392335,0.039053841243925726,0.026654525955717646,-0.008302015978027781,-0.01819376172386794,-0.013550072297151142
0991,-0.015474168130002939,0.01521071791827535,0.022198109855875996,-0.0009048016783547262,0.032590839489833566,0.026276421162642394,0.025359671915575432,0.005086416072405311,0.011806904527571289,-0.007980554279191233
0992,-0.03331014284354576,0.009483009148938135,0.0028089844837197978,0.0033326721034353645,0.05423779153847918,0.009454505863884528,-0.017108415223586363,0.039380887183246255,-0.0066070570381348255,0.02620788710750138
0993,0.02347581162998564,0.0002463241798714455,-0.010844071393590086,0.015125611786197188,-0.005847997185910058,0.007376036327540336,-0.006883893310625073,-0.008766945101544472,-0.012111119817565625,-0.0018434706683670922
0994,0.03243510193855231,0.032778498485498554,0.01931249894815856,0.00607349570225834,0.011480176380253984,-0.000897312006887214,0.012779707284252135,0.013374581493977985,-0.008899135468314513,-0.010382418253334172
0995,-0.019324202697762378,0.042593381429797766,0.029488387106469144,0.0069408747475077056,0.01905722252693641,-0.04011650576453284,0.057853325025723615,0.014141770692844825,-0.017419217956660172,-0.004841046297047665
0996,-0.025939632232398833,-0.005444938833047138,-0.013709822148065261,-0.018143455902657275,-0.013056966406900647,-0.034422670554227604,0.03432388757339826,-0.01157769871722368,0.008158469472155922,-0.013249795366853808
0997,0.019090201067378985,0.02107723019942789,0.018763989525678225,0.026055247709501475,0.00903239319611166,-0.00026137793404523973,0.014409893351151115,-0.004373080513809866,0.0019431641526286843,0.0030556811450650452
0998,-0.00773640906985071,0.03143877932752877,0.037756348425657026,-0.006736420484550705,0.0023940677001836447,-0.017250830235826724,-0.01710509410818449,0.002440289037032732,-0.007139255837837746,-0.011259048354055386
0999,0.007369680668942598,0.014901128548543498,-0.02425100741686864,-0.02413822901579128,0.03511596449802081,-0.0071200154656322675,-0.03377505596353124,0.005459983564472948,0.0005578422470048513,0.017839564843631604
