era,zero_pred,filter_off_s0,filter_on_s0,c4_random_s0,gaf_s0
0425,0.013847364300730384,0.04505233521467236,-0.008270962352183242,0.016069345332241466,-0.0016098781041970845
0426,-0.014100506991063107,-0.01141362284945639,-0.008103452690209902,0.002466469190785426,0.03551139456711355
0427,-0.010208139677359486,0.02493924565488429,0.0023297313033889305,-0.022731042235250472,-0.03178485952441493
0428,0.00856895412784422,0.047901187315872416,-0.001177131373081265,-0.023032694084717246,-0.011549946785921457
0429,-0.0312669378452218,0.02469818483366978,-0.013329824425636677,-0.029056742315997693,-0.011884680309123931
0430,0.005978652921625737,0.018818982119343138,0.0012471188887600028,0.028275124933144612,0.0032014604975173938
0431,0.020244890379869363,0.012875210844660045,-0.012425513161647505,-0.022101352547009925,-0.011009352031330287
0432,-0.04182471278610989,0.054125450025367526,0.03219331761565188,0.004334148420132759,-0.0017647763847680768
0433,0.014216511034747734,0.035640853072021056,-0.017809569173830128,0.032425373146939614,-0.01179768110167125
0434,-0.022123402690310108,0.046362923966741104,0.0020740747462814645,0.017542337755391192,-0.02587351322137102
0435,-0.011140231673675973,0.019276589001837346,-0.0005807224365227206,0.00283649394085454,-0.013489929643381485
0436,0.001164795108500878,0.0392883361977434,0.019662061714244467,0.01719327346584341,-0.020142709788411678
0437,-0.00908685962811653,0.05563446460064708,0.02903790947327881,0.030657676650032932,0.01303643480436906
0438,-0.007280697743497529,0.07781420563398259,0.01973873716524263,0.009266249872249058,-0.006630302562214251
0439,-0.008906034615001663,0.009261049747675642,-0.005708177638897757,0.02635320212733111,0.005807399644419436
0440,-0.04411468733032179,0.014413306399874303,-0.0020640179429504677,0.013015271021726213,-0.02361709319356322
0441,0.0023375612492323823,0.03744268558146412,0.026954249055863747,0.003613541748836289,-0.013307687710203542
0442,0.003971001541368914,0.03833608883746906,0.04699593523969145,0.024146557330743505,-0.022457390434174898
0443,0.02653056632329696,0.044989721947106806,0.06385068155788197,-0.0077917616600874885,0.007913131696034765
0444,-0.015453815013600837,0.0216282418498563,0.01736603872035859,0.008845676935297852,-0.033811096328698914
0445,-0.010843872645776544,0.006560143118299257,0.027150725325839273,0.02285133660471037,-0.021306261723617055
0446,0.011173748225916188,0.03908258291909545,0.018857714339728854,0.01985052390973439,0.026757951548230786
0447,-0.005181332032270074,-0.027333504667192518,-0.012344655382033404,-0.021172019298367935,-0.00692449198648807
0448,-0.0028409289951654535,0.0025384761262433417,0.003906513142887757,-0.000615924464311012,-0.0023811018671510984
0449,-0.022120334219935457,0.021678719474194166,0.009547332471447309,0.004111001782036885,0.00642353021182938
0450,0.0046960774172620685,-0.009565429741729317,0.012146145928897003,0.009979695453375959,0.012635536035635438
0451,-0.0005798510063712044,0.03534515276640669,0.019432192589348727,0.036690098396760566,-0.020694696188593334
0452,0.001040952715351288,-0.008135035321225356,0.015451326871586405,0.019024601150836533,-0.013055614645673818
0453,0.02059553255100442,0.007880482598704646,-0.005704078721582925,0.004252622581902058,-0.006986547870145136
0454,-0.0066890611107919325,0.028252205130089626,-0.030329521452749423,0.036602119268085175,-0.03575265370419538
0455,0.02046463000849467,-0.009882834157163761,0.013216900167656736,-0.012970040298387915,-0.04484936600622431
0456,0.011778071286599611,-0.00407673483945687,-0.003764082411786691,-0.02384382202147898,-0.015711062236328812
0457,-0.04961175911474678,0.013186497219126472,0.03404749054928217,-0.002570604138961288,0.0038166711680669096
0458,0.004392483540968876,0.06093011941178673,-0.021705173848846446,0.005220599108552049,0.010743496083957183
0459,0.024170681531371616,0.05102706715727131,-0.005231468708879315,-0.033666952979505615,-0.006873750288296701
0460,0.008943491869198947,0.04518711045343803,0.002139795079811013,0.006917038503624964,0.006964725092904406
0461,0.005445096422273223,0.03368936013931673,0.012230046520466003,-0.01579039761941352,-0.011217437910642631
0462,-0.011088414689111504,-0.015142093159892284,0.010600647774082032,-0.02000548296290031,0.030157088117148
0463,0.0005453761424422394,0.0006477735553917056,-0.021870283906127132,-0.010992289348154006,0.0002974336596304252
0464,-0.0074516438821993,-0.007135892922165784,-0.035617457036551115,-0.010463124505908033,-0.01269156792196907
0465,-0.0024925539466879635,-0.008903910091741195,-0.019253722976863483,-0.03264021555223281,0.018436020465111756
0466,0.03787947260897139,0.00630851050707964,-0.001141215739346538,-0.002236220454801433,0.025751116411227307
0467,-0.019375775171011026,0.018267518003925,0.00043307837463941193,-0.006237151867206728,0.024069143534722035
0468,0.014722594623511661,-0.0085769526497527,0.02465987102533299,0.002055992256473361,0.02326744035488728
0469,-0.012107175119745395,0.05895177820387124,0.007120159032923624,-0.0014752356628878025,0.023402263947652834
0470,-0.017200899943169968,0.04517831354058348,-0.02542883406356509,-0.019070793779080743,0.010916227598077902
0471,-0.008258891896090345,0.01892461033599781,0.006339921542688224,-0.03629025258659724,-0.036526857089380194
0472,0.022157551246964075,0.02288294421412584,0.013376763338776188,0.00447589769225478,0.01779631195418081
0473,-0.002911699921787996,0.0058724970833744505,0.015321432555572874,-0.006679014222482449,-0.009173015879214317
0474,0.0053987160702541875,0.02012089735864013,0.025461142340265502,0.02193992733986581,-0.0025407772735300976
0475,-0.02926438048120142,0.03440248817497327,0.023892922820257578,0.025779610823713,0.02698635682597003
0476,-0.007184615675372387,0.016990270649477824,0.03273479667367208,0.03281020318702849,0.00927388202003751
0477,-0.01749629322334851,-0.0027923100371736527,0.028053507683382453,0.011024817941608568,0.009935175927332755
0478,0.0016079839603182257,0.023388263446885917,0.041133187928791407,0.015651032183880868,0.030283082442777692
0479,0.010824787728374677,0.04583432365586541,0.042540513082663864,0.016930432217276067,0.04038414313779916
0480,-0.03308182706285415,0.013505792610139731,0.024102607355918994,-0.005576890982520703,-0.006767727647588649
0481,-0.04713439450341649,0.02715585537487792,0.01794340989638324,-0.0100033176540333,-0.032899129663585464
0482,0.03032609942558464,0.04839901377840967,-0.012204751525079873,0.004550950793416801,-0.009988784025673256
0483,0.017007462645031345,0.042580781307598584,0.021245464425605185,0.04089069546533072,0.0007566899789851213
0484,-0.001768834015569036,0.06241682171123631,0.028331517654723692,0.023079534525619123,-0.009902863587284632
0485,-0.02265635120393579,0.047458974256616056,0.05474338269042671,0.02519119051239356,0.0026609228642650007
0486,0.02608577283638878,0.06677039670892092,-0.0005538097983658863,0.02186324794169213,-0.009288860045769383
0487,-0.0018806473545701797,0.06704284721043538,0.029859669272507404,0.018464944301867552,-0.006701435505178125
0488,0.020443371337999165,0.028126746435836243,0.016813266256342607,0.016441166529552444,0.02236468150245241
0489,0.02561799325658273,0.047162924694432874,-0.01820833800776867,-0.011110067081039201,0.013106039139511045
