era,zero_pred,filter_off_s0,filter_on_s0,c4_random_s0,gaf_s0
0425,0.0072896592248776985,0.060287835174013676,-0.01114105512403262,0.020576009115963714,0.002017531408662029
0426,-0.011206367568173153,-0.011616355631867881,0.005289354846841676,0.014246953852149795,0.026462846649937928
0427,0.010348231193031143,0.03093371016086963,-0.013398494562796487,-0.008514652319865479,-0.026031628181771457
0428,-0.01609686437262174,0.0519623042034839,-8.203428920728031e-05,-0.027341546979619057,-0.010158146459574274
0429,-0.042853281090945175,0.02963428676373784,-0.017152988549752266,-0.039627022128126715,-0.019115940990944286
0430,-0.003052612397140485,0.029437713274688148,-0.010896241461677818,0.017394638683027222,0.015095315881605061
0431,0.019328597229870986,-0.014222346692485807,-0.028663380752918407,-0.02875525462085326,-0.01833359500539872
0432,-0.03211561258089378,0.03783155036947035,0.026760174705280724,0.01416064618159403,-0.00904890198298152
0433,-0.002052662148133769,0.045404312979193534,-0.012854031990452595,0.024330100734551333,-0.019546948958263997
0434,-0.03173865066996597,0.043706453588425676,0.006739932747974963,0.033899350074759416,-0.03185503757762057
0435,0.00128167404105485,0.017851867239859088,-0.00031137657879597993,-0.002521721975102732,-0.008352260503603113
0436,0.00973413159817732,0.03729942948438631,0.004370372535550559,0.02045526925833362,-0.019660794644546255
0437,-0.014187201371467815,0.049940341113232006,0.012490334943184312,0.028852450063715375,0.026486290844048254
0438,-0.017488713615925897,0.06364881243993335,0.02123406440115714,-0.006912151976077782,-0.010544545673369874
0439,-0.014436949524908444,0.0019844793424579404,0.003141196606248081,0.012060751876317829,0.012992348954539469
0440,-0.03169037518001471,0.012715465084172133,0.00664025036528262,-0.00797283018980523,-0.030533240429724266
0441,-0.009709672142334843,0.06008318891154071,0.03147928485193156,-0.013958898041900323,0.002886272264694676
0442,0.010940796060689663,0.03963175754867651,0.032672422449663306,0.01403783497711332,-0.003565096130611415
0443,0.007073790517672236,0.03540781876641362,0.04524603583314991,-0.004398072878454392,-0.010168139250629076
0444,-0.015763709623609526,0.013860251316141582,0.011269155517033173,-0.0001552083216734837,-0.04175836430132796
0445,-0.01438629198172598,-0.006290982249164578,0.031942706786949854,0.011564040757986348,-0.01181094267750197
0446,0.0006764000089327623,0.021030873416226403,-0.004775790840721103,0.021508330011283123,0.010075444108570999
