era,zero_pred,filter_off_s0,filter_on_s0,c4_random_s0,gaf_s0,filter_off_s1,filter_on_s1,c4_random_s1,gaf_s1,filter_off_s2,filter_on_s2,c4_random_s2,gaf_s2
0971,0.012003611055955946,0.03722756916973725,-0.0403278130996702,-0.0017716047180486617,-0.05540235249233459,0.017833133385075944,0.017157806342731816,-0.014254494023985808,0.017359557445411167,0.0885630977056582,0.0523691179339502,0.0218774713361937,0.0038401407541518665
0972,-0.005109414413048065,0.028231764389969542,0.01319979071314568,0.006552119993395099,-0.042896441290444495,0.02621116337194898,-0.004064361897558845,0.010029387765831753,0.022578133165083468,0.05352284561123959,0.008486020026318075,0.00823456450922782,-0.03608351092371416
0973,-0.006946763740443714,-0.006574447008245646,-0.00935369901553746,-0.013057480457088579,-0.0049502467302737765,0.05126024026010694,0.0022434575737134456,0.004233884146974142,0.008568184866337739,0.06840922583785866,0.012888489598538123,0.04571794413095552,-0.016922090658642988
0974,-0.02393462974348476,-0.003890104173344013,-0.007747670728921346,-0.034133056653483936,-0.0056453552780159864,-0.0023488139643195504,0.00528530021062388,0.008087253408690636,0.018620425263807864,-0.0002948695224124056,0.015255000624711053,0.02031893036879785,-0.0032494153369200997
0975,-0.015788349949068203,-0.0005746728466564889,-0.006442278540653346,0.04122903700250177,0.011092773431054116,0.02209734870351674,0.0008603860717222322,0.010809652503733882,0.05243656560349117,0.036656449871631906,0.02240134785149971,0.034680270027686956,0.01708763142943856
0976,0.018114801709441273,0.021583282991897514,0.019011260559343587,0.025027501106634972,-0.02082775851998892,0.029190157840403623,0.008813962561401678,0.007087552709620682,-0.008590823746304321,0.013533958152693789,0.0032826435432475798,0.012261738572335082,-0.01755850858628718
0977,-0.007986575148927718,-0.01779395584094277,-0.019929699997209973,-0.010474285553639192,-0.0013591634749361725,-0.0056458701104530485,-0.02006180716841893,0.020385366130315025,-0.04896088728554781,0.004152673119448697,-0.018675404749667713,-0.0034102760012638396,0.0017266411388863676
0978,0.029470196852800598,0.026559332278736584,-0.011733131078274615,-0.0337411705129661,0.01192287992984398,0.012953085780709795,-0.004005450303595816,-0.0017165185778763629,0.015017186184234935,0.00440944712508891,-0.01080571024564271,0.001481590953417023,-0.015396959891374217
0979,-0.00720226222229238,0.025630782347385143,0.0032896640635114546,0.007301301577832288,-0.014234174695659282,-0.010989186537963212,-0.013795790236325642,0.019423525156960993,-0.047231847338545865,0.014989988080233845,-0.0038833105018287084,0.03746082132727458,0.01216829053345328
0980,0.004171794465183303,0.029222240950853077,0.008635576797788175,0.03580138737855047,-0.006476819230017503,-0.016387290299270885,-0.02237564951609109,-0.006853524033186049,-0.029704195844330813,0.06555111901516456,0.0009767616962683624,0.03836428937772538,0.008212216100627782
0981,-0.006832268114397686,-0.02261102992977615,-0.0029254653546345755,-0.040274604195215086,0.006939538294686391,-0.0188530256527241,-0.011183300058418753,-0.009214583585401195,-0.013788938371971374,-0.0003568229717525073,-0.015545773782636668,0.039845932746783184,0.03995797814533142
0982,0.014398356564992129,-0.018095062224327354,-0.0030593255577043834,-0.012993231493040566,-0.009153588276427593,0.022776500999460072,-0.024521910173062534,0.03595130644351535,-0.0010549281148652689,0.00997611795301027,0.01211246105660337,0.018881096156197083,0.02596087430237854
0983,0.006258316107658149,0.019120333010388766,0.004463099878236814,-0.01670777894678414,-0.017523005435470963,-0.03298447698325279,0.008796531992427208,-0.01971012161253728,0.05248397644003221,0.011781765368740423,-0.004849967091037221,0.021930928583734268,0.006013388993718001
0984,-0.002749969066326471,0.005571142106062818,0.028544232319843675,-0.013073119371481777,0.041831141335817126,0.03399230430452532,-0.0011300393779544748,-0.02987998522589799,0.05080793521389227,0.04656578017073104,0.023344152590181726,0.0064748606722542955,0.02670156915224281
0985,0.0006211810579945049,-0.036749898218682,0.008859297222694386,0.020498780789519354,-0.020983282182457843,-0.0025982171679257674,0.03008350923158792,-0.0035115413356109847,-0.017210230529579606,0.00017066246383958672,0.00780786907508189,0.022919363965852545,0.04053806567649634
0986,-0.014441219236408847,0.0008777102041674753,0.0262268662628267,-0.0034710594636012293,-0.01700785990867635,-0.014231263222143959,0.04343551627278498,-0.037735088215349134,-0.037701827543528015,-0.013889512548458435,0.006203810918522011,-0.017526322071921254,0.027075188813662155
0987,-0.011895285170965761,0.03826598391197066,0.01773372141659988,0.04190619282653453,0.017081067058450538,0.0053110564562058385,0.04259524050604437,-0.023110989644346623,-0.02787732263051982,0.058124330944997686,-0.023379160135143004,-0.007869778403078006,0.011532596788539103
0988,0.030921788516925272,0.007027829622527446,0.03237863286797562,0.01721473327895186,0.014743047620350407,-0.0028658707240345185,-0.013863101556833533,0.013075132892802155,0.004261734607315252,-0.005232500353314506,-0.0030671508266356595,0.014778514881667041,0.002387942011792937
0989,0.006334168413867743,0.046283424313671495,0.009899122162154371,-0.015328060396186704,0.008931457871994283,-0.028100137865528077,-0.003024480464464872,-0.026880992765751777,-0.019997120375125833,-0.032801007600802366,0.0006763313924315273,-0.015324408280947182,0.02075654957436782
