era,numerai_corr,spearman,n
0575,0.08199447933249762,0.07487939900922586,5592
0576,0.06393407773426371,0.0636945145216445,5638
0577,0.06432614693469157,0.04797349077310894,5675
0578,0.06255746062002084,0.04981718279647389,5786
0579,0.043191516519465775,0.03823738757248848,5868
0580,0.03765994852456608,0.029368159849938492,5875
0581,0.030272378591845315,0.02469228873029397,5840
0582,0.045173861583670066,0.05119496769879357,5819
0583,0.04116105105818015,0.04378155702734301,5814
0584,0.053373087252204056,0.06124354318358741,5840
0585,0.04178465136495559,0.04338316433653438,5848
0586,0.03526744254842055,0.04006965861844644,5928
0587,0.04983270281712654,0.04677138847084457,5945
0588,0.03649348984506692,0.03914020925568961,5959
0589,0.03704045327938367,0.04558600439367152,5949
0590,0.042528997322651606,0.04998858401665731,5893
0591,0.05171176293245737,0.05376548623638927,5794
0592,0.03954033369595478,0.04446425421575634,5696
0593,0.01523265143408887,0.009106760598139713,5633
0594,0.046541094751734124,0.03719746540148019,5665
0595,0.033722993678409266,0.02920919756207197,5697
0596,0.03607863752197249,0.03240819758608838,5710
0597,0.050362169938686606,0.047748645003842426,5753
0598,0.04325285922432215,0.041116716307417964,5775
0599,0.054873337727729954,0.07185805141910223,5832
0600,0.06060274944942927,0.06961778447633708,5855
0601,0.04288944880943258,0.049842065651436125,5834
0602,0.029631141892492274,0.031011207655731773,5829
0603,0.03137483302810528,0.031634309316527665,5749
0604,0.010064856318624079,0.007354654397880815,5727
0605,0.03184686389012027,0.02206150836888934,5717
0606,0.04011069483494381,0.03366015111557676,5706
0607,0.024085007260183665,0.021277748087819695,5698
0608,0.04064201903886015,0.029059117591351824,5706
0609,0.05977158013376949,0.0379481682373226,5666
0610,0.03992695501920488,0.03876580145221808,5664
0611,0.05715419398570372,0.045351039224252265,5682
0612,0.062427161032195685,0.06842380225365013,5739
0613,0.059841785967276906,0.06192787278950687,5888
0614,0.06489228108709509,0.06738525810524815,5896
0615,0.029411979866529363,0.03619423128167804,5901
0616,0.048839746624793595,0.04775245956194628,5966
0617,0.03254608481258358,0.03277971946310495,5952
0618,0.028935934583172392,0.025507964266464653,5957
0619,0.042694011085889834,0.04490700582621783,5967
0620,0.03947804206984762,0.034484040221558834,5888
0621,0.04255660775661341,0.037562489631628386,5899
0622,0.051270693749065246,0.05234514564320496,5869
0623,0.04753049777658458,0.04043303908681372,5865
0624,0.02597167047902734,0.011082005791916523,5868
0625,0.008392872599372143,0.004082971779666461,5950
0626,-0.0006760127331276042,-0.008126973647468517,5884
0627,0.013550435075377908,0.012307241496739714,5504
0628,0.03376916576245693,0.032199177651066065,5522
0629,0.05025097927205097,0.05730343962548521,5450
0630,0.048432200072490106,0.05320638323794098,5579
0631,0.04963338058827376,0.052418609735128074,5678
0632,0.02319453828108695,0.03192577936103069,5691
0633,0.045415466659611145,0.04538963337079512,5674
0634,0.05386958769799126,0.05727240192209956,5657
0635,0.05617685796416635,0.054014520300207584,5725
0636,0.06364165628500315,0.07512071850788038,5737
0637,0.06776388093096423,0.059415392500336436,5798
0638,0.10932497383502941,0.09915921439250011,5870
0639,0.09426564085838081,0.09206229703090545,5903
0640,0.07900497644999138,0.09978296745939856,5846
0641,0.08101259203595386,0.08029271553224919,6000
0642,0.050062028931596725,0.05886911503764236,6034
0643,0.048040626185892124,0.054800517134949996,6022
0644,0.04154802368767311,0.042425592051709676,6076
0645,0.04178924001353778,0.052091637061831245,6065
0646,0.07152032677493134,0.07075220601984923,6041
0647,0.06721461975395714,0.05984244622216727,6061
0648,0.04829319045387904,0.04835185511934297,6016
0649,0.05377141226547196,0.04490208739670883,6017
0650,0.07153578062298928,0.059358351117053024,5986
0651,0.04782588733190208,0.04402082281978432,6020
0652,0.05668648584992457,0.04383282527908094,5983
0653,0.03746664522150805,0.031230392931965268,5968
0654,0.04433835203113213,0.04361413030470391,6037
0655,0.053702700482448955,0.04333216499133888,5954
0656,0.046501509298566154,0.04963538580338549,5901
0657,0.04618567032581073,0.04114799730766701,5825
0658,0.05717355501762283,0.035932084467935985,5756
0659,0.05354680674950505,0.03224738015801078,5712
0660,0.0584568891830208,0.04352878418314085,5722
0661,0.037539436233611646,0.0254058513265275,5803
0662,0.03778606963048631,0.02183843166891906,5836
0663,0.05777871270335786,0.031220677047696828,5809
0664,0.021634578734739052,0.015444587955495144,5783
0665,0.03515016597225007,0.03012616807226346,5727
0666,0.025177140206156984,0.020428531236787898,5705
0667,0.0351992486085967,0.038476151891080015,5744
0668,0.05695779206476587,0.04168537400734271,5760
